Building_ID,Address,Building_Type,Build_Year,Zip,State,City,Community_Name,Community_Number,Latitude,Longitude,Location
158265,188 W Randolph St,Residential,1900-03-01,60601.0,VA,Ebony,LOOP,32.0,41.762592,-87.57232,"(41.88480581, -87.63360796)"
158303,644 N Lakeshore Dr,Residential,1914-03-01,60611.0,VA,Northgate,NEAR NORTH SIDE,8.0,41.90578,-87.66365,"(41.89390514, -87.61565091)"
158307,720 N Larrabee St,Residential,2014-03-01,60654.0,VA,Sale Creek,NEAR NORTH SIDE,8.0,41.680508,-87.66246,"(41.89516628, -87.64335552)"
158316,230 N Michigan Ave,Residential,1921-03-01,60601.0,VA,Campbellton,LOOP,32.0,41.886604,-87.62501,"(41.88660481, -87.62500515)"
158361,30 E Hubbard St,Residential,1969-03-01,60611.0,VA,Crisman,NEAR NORTH SIDE,39.0,41.890316,-87.627625,"(41.89031643, -87.6276243)"
158387,165 E Ontario St,Residential,1958-03-01,60611.0,VA,Churchs Ferry,NEAR NORTH SIDE,8.0,41.89313,-87.62306,"(41.89313049, -87.62306158)"
158391,127 W Huron St,Residential,1917-03-01,60654.0,VA,Manchester,NEAR NORTH SIDE,8.0,41.86842,-87.62414,"(41.89465307, -87.6321365)"
158396,180 N Jefferson St,Residential,2017-03-01,60661.0,KY,Goodland,NEAR WEST SIDE,1.0,41.885414,-87.64306,"(41.88541488, -87.64306225)"
158402,172 W Adams St,Residential,1970-03-01,60603.0,IL,Snake Creek,,,41.879913,-87.633224,"(41.87991155, -87.63322714)"
158403,565 W Adams St,Commercial,2012-03-01,60661.0,KY,Moorland,NEAR WEST SIDE,28.0,41.878975,-87.64212,"(41.87897403, -87.64212148)"
158405,250 S Wacker Dr,Commercial,1957-03-01,60606.0,IL,Rockbridge,LOOP,32.0,41.878437,-87.637276,"(41.87843521, -87.63727562)"
158412,630 N Rush St,Commercial,1985-03-01,60611.0,VA,Reed Point,NEAR NORTH SIDE,8.0,41.893604,-87.62638,"(41.89360566, -87.62637759)"
158414,301 - 317 N Michigan Ave,Commercial,1996-03-01,60601.0,VA,Cambridge,LOOP,32.0,41.963963,-87.65181,"(41.88709131, -87.62418563)"
158422,600 W Fulton St,Commercial,1914-03-01,60661.0,KY,Northgate,NEAR WEST SIDE,28.0,41.809326,-87.59248,"(41.88716166, -87.64324873)"
158424,203 209 N WABASH AVE,Residential,1936-03-01,60601.0,VA,Russell,LOOP,32.0,41.886196,-87.62593,"(41.88619746, -87.62593056)"
158431,600 N MICHIGAN AVE,Commercial,1996-03-01,60611.0,VA,Cambridge,NEAR NORTH SIDE,8.0,41.920395,-87.756165,"(41.89293179, -87.62488221)"
158433,226 N Clinton St,Residential,1907-03-01,60661.0,KY,Mingo,NEAR WEST SIDE,28.0,41.87827,-87.64809,"(41.8860179, -87.64181202)"
